Fecha: 2025-12-09
Hora: 14:13:40
"Canales activos: CH1=True, CH2=False, CH3=False"
Operación: Ninguna
Trigger: Desactivado
Tiempo (s),CH1 (V),CH2 (V),CH3 (V),Operación (V)
0.435768,0.1955,nan,nan,nan
0.438496,0.2737,nan,nan,nan
0.441208,0.4008,nan,nan,nan
0.443928,0.4985,nan,nan,nan
0.446648,0.4985,nan,nan,nan
0.449368,0.3959,nan,nan,nan
0.452088,0.2639,nan,nan,nan
0.454808,0.2004,nan,nan,nan
0.457528,0.2346,nan,nan,nan
0.460248,0.3568,nan,nan,nan
0.462968,0.4741,nan,nan,nan
0.465688,0.5132,nan,nan,nan
0.468408,0.4399,nan,nan,nan
0.471136,0.3128,nan,nan,nan
0.473848,0.2102,nan,nan,nan
0.476568,0.2102,nan,nan,nan
0.479288,0.3079,nan,nan,nan
0.482008,0.4399,nan,nan,nan
0.484728,0.5132,nan,nan,nan
0.487448,0.4741,nan,nan,nan
0.490168,0.3519,nan,nan,nan
0.492888,0.2346,nan,nan,nan
0.495608,0.1906,nan,nan,nan
0.498328,0.2688,nan,nan,nan
0.501048,0.3959,nan,nan,nan
0.503768,0.4985,nan,nan,nan
0.506488,0.5034,nan,nan,nan
0.509208,0.4008,nan,nan,nan
0.511928,0.2737,nan,nan,nan
0.514648,0.2004,nan,nan,nan
0.517376,0.2346,nan,nan,nan
0.520088,0.3519,nan,nan,nan
0.522808,0.4692,nan,nan,nan
0.525532,0.5132,nan,nan,nan
0.528248,0.4448,nan,nan,nan
0.530968,0.3128,nan,nan,nan
0.533688,0.2102,nan,nan,nan
0.536408,0.2102,nan,nan,nan
0.539128,0.303,nan,nan,nan
0.541848,0.435,nan,nan,nan
0.544568,0.5132,nan,nan,nan
0.547288,0.479,nan,nan,nan
0.550008,0.3617,nan,nan,nan
0.552728,0.2395,nan,nan,nan
0.555448,0.1955,nan,nan,nan
0.558176,0.2639,nan,nan,nan
0.560888,0.391,nan,nan,nan
0.563608,0.4936,nan,nan,nan
0.566328,0.5034,nan,nan,nan
0.569048,0.4057,nan,nan,nan
0.571768,0.2786,nan,nan,nan
0.574488,0.1955,nan,nan,nan
0.577208,0.2297,nan,nan,nan
0.579928,0.347,nan,nan,nan
0.582648,0.4692,nan,nan,nan
0.585368,0.5132,nan,nan,nan
0.588088,0.4497,nan,nan,nan
0.590808,0.3177,nan,nan,nan
0.593528,0.2151,nan,nan,nan
0.596248,0.2053,nan,nan,nan
0.598968,0.2981,nan,nan,nan
0.601688,0.4301,nan,nan,nan
