Fecha: 2025-12-09
Hora: 14:13:40
"Canales activos: CH1=True, CH2=False, CH3=False"
Operación: Ninguna
Trigger: Desactivado
Tiempo (s),CH1 (V),CH2 (V),CH3 (V),Operación (V)
1.941204,0.4545,nan,nan,nan
1.944008,0.5132,nan,nan,nan
1.946816,0.4594,nan,nan,nan
1.94962,0.3275,nan,nan,nan
1.952424,0.2151,nan,nan,nan
1.955228,0.2102,nan,nan,nan
1.958032,0.303,nan,nan,nan
1.96084,0.4399,nan,nan,nan
1.963644,0.5132,nan,nan,nan
1.966448,0.4692,nan,nan,nan
1.96926,0.3421,nan,nan,nan
1.97206,0.2297,nan,nan,nan
1.974864,0.2004,nan,nan,nan
1.977668,0.2933,nan,nan,nan
1.980476,0.4252,nan,nan,nan
1.98328,0.5083,nan,nan,nan
1.986084,0.479,nan,nan,nan
1.988888,0.3617,nan,nan,nan
1.991696,0.2346,nan,nan,nan
1.9945,0.1955,nan,nan,nan
1.997304,0.2737,nan,nan,nan
2.000112,0.4057,nan,nan,nan
2.002912,0.5034,nan,nan,nan
2.00572,0.4888,nan,nan,nan
2.008524,0.3812,nan,nan,nan
2.011328,0.2493,nan,nan,nan
2.014136,0.1955,nan,nan,nan
2.01694,0.259,nan,nan,nan
2.019744,0.391,nan,nan,nan
2.022548,0.4985,nan,nan,nan
2.025356,0.4985,nan,nan,nan
2.02816,0.391,nan,nan,nan
2.030964,0.2639,nan,nan,nan
2.033772,0.1955,nan,nan,nan
2.036576,0.2493,nan,nan,nan
2.03938,0.3763,nan,nan,nan
2.042184,0.4888,nan,nan,nan
2.044996,0.5083,nan,nan,nan
2.047796,0.4057,nan,nan,nan
2.0506,0.2737,nan,nan,nan
2.053404,0.2004,nan,nan,nan
2.056208,0.2346,nan,nan,nan
2.059012,0.3568,nan,nan,nan
2.06182,0.479,nan,nan,nan
2.064624,0.5083,nan,nan,nan
2.067428,0.4252,nan,nan,nan
2.070232,0.2933,nan,nan,nan
2.07304,0.2053,nan,nan,nan
2.075844,0.2248,nan,nan,nan
2.078648,0.3421,nan,nan,nan
2.081456,0.4643,nan,nan,nan
2.08426,0.5132,nan,nan,nan
2.087064,0.4448,nan,nan,nan
2.089868,0.3079,nan,nan,nan
2.092676,0.2102,nan,nan,nan
2.09548,0.2151,nan,nan,nan
2.098284,0.3226,nan,nan,nan
2.101088,0.4545,nan,nan,nan
2.103892,0.5132,nan,nan,nan
2.1067,0.4545,nan,nan,nan
2.109508,0.3226,nan,nan,nan
2.112308,0.2199,nan,nan,nan
2.115116,0.2053,nan,nan,nan
2.11792,0.3079,nan,nan,nan
2.120724,0.4399,nan,nan,nan
2.123528,0.5132,nan,nan,nan
2.126332,0.4692,nan,nan,nan
2.129144,0.3372,nan,nan,nan
2.131944,0.2248,nan,nan,nan
2.134748,0.2004,nan,nan,nan
2.137552,0.2933,nan,nan,nan
2.14036,0.4252,nan,nan,nan
2.143164,0.5083,nan,nan,nan
2.145968,0.479,nan,nan,nan
2.148776,0.3617,nan,nan,nan
2.15158,0.2346,nan,nan,nan
2.154384,0.2004,nan,nan,nan
2.157188,0.2688,nan,nan,nan
2.159996,0.4057,nan,nan,nan
2.1628,0.5034,nan,nan,nan
2.165604,0.4888,nan,nan,nan
2.168408,0.3763,nan,nan,nan
2.171216,0.2493,nan,nan,nan
2.174024,0.1955,nan,nan,nan
2.176824,0.259,nan,nan,nan
2.179628,0.3959,nan,nan,nan
2.182436,0.4985,nan,nan,nan
2.18524,0.4985,nan,nan,nan
2.188044,0.3959,nan,nan,nan
2.190848,0.2639,nan,nan,nan
2.193656,0.1955,nan,nan,nan
2.19646,0.2493,nan,nan,nan
2.199264,0.3763,nan,nan,nan
2.202068,0.4888,nan,nan,nan
2.204872,0.5034,nan,nan,nan
2.20768,0.4106,nan,nan,nan
2.210484,0.2786,nan,nan,nan
2.213288,0.1955,nan,nan,nan
2.216096,0.2346,nan,nan,nan
2.2189,0.3568,nan,nan,nan
2.221704,0.479,nan,nan,nan
2.224508,0.5083,nan,nan,nan
2.227316,0.4252,nan,nan,nan
2.23012,0.2884,nan,nan,nan
2.232924,0.2004,nan,nan,nan
2.235728,0.2248,nan,nan,nan
2.23854,0.3421,nan,nan,nan
2.24134,0.4643,nan,nan,nan
2.244144,0.5083,nan,nan,nan
2.246948,0.4448,nan,nan,nan
2.249752,0.3079,nan,nan,nan
2.25256,0.2053,nan,nan,nan
2.255364,0.2102,nan,nan,nan
2.258176,0.3226,nan,nan,nan
2.260976,0.4545,nan,nan,nan
2.26378,0.5132,nan,nan,nan
2.266584,0.4545,nan,nan,nan
2.269388,0.3275,nan,nan,nan
2.272196,0.2151,nan,nan,nan
2.275,0.2102,nan,nan,nan
2.277804,0.3128,nan,nan,nan
2.280608,0.4399,nan,nan,nan
2.283412,0.5132,nan,nan,nan
2.28622,0.4692,nan,nan,nan
2.289024,0.3421,nan,nan,nan
2.291828,0.2248,nan,nan,nan
2.294636,0.2004,nan,nan,nan
2.29744,0.2884,nan,nan,nan
2.300244,0.4252,nan,nan,nan
2.303056,0.5083,nan,nan,nan
2.305852,0.4839,nan,nan,nan
2.30866,0.3617,nan,nan,nan
2.311464,0.2346,nan,nan,nan
2.314268,0.1955,nan,nan,nan
2.317072,0.2737,nan,nan,nan
2.31988,0.4106,nan,nan,nan
2.322684,0.5083,nan,nan,nan
2.325488,0.4888,nan,nan,nan
2.328292,0.3763,nan,nan,nan
2.3311,0.2493,nan,nan,nan
2.333904,0.1955,nan,nan,nan
2.336708,0.2639,nan,nan,nan
2.339512,0.3861,nan,nan,nan
2.34232,0.4985,nan,nan,nan
2.345124,0.4985,nan,nan,nan
2.347928,0.3959,nan,nan,nan
2.350732,0.259,nan,nan,nan
2.35354,0.1955,nan,nan,nan
2.356344,0.2493,nan,nan,nan
2.359148,0.3812,nan,nan,nan
2.361956,0.4888,nan,nan,nan
2.36476,0.5034,nan,nan,nan
2.367568,0.4106,nan,nan,nan
2.370368,0.2786,nan,nan,nan
2.373176,0.1955,nan,nan,nan
2.37598,0.2346,nan,nan,nan
2.378784,0.3568,nan,nan,nan
2.381588,0.479,nan,nan,nan
2.384392,0.5083,nan,nan,nan
2.3872,0.4252,nan,nan,nan
2.390004,0.2933,nan,nan,nan
2.392808,0.2053,nan,nan,nan
2.395616,0.2248,nan,nan,nan
2.398424,0.3421,nan,nan,nan
2.401224,0.4692,nan,nan,nan
2.404028,0.5132,nan,nan,nan
2.406832,0.4399,nan,nan,nan
2.40964,0.3079,nan,nan,nan
2.412444,0.2053,nan,nan,nan
2.415248,0.2151,nan,nan,nan
2.418052,0.3226,nan,nan,nan
2.42086,0.4594,nan,nan,nan
2.423664,0.5132,nan,nan,nan
2.426468,0.4594,nan,nan,nan
2.429272,0.3226,nan,nan,nan
2.432084,0.2151,nan,nan,nan
2.434884,0.2053,nan,nan,nan
2.437688,0.3079,nan,nan,nan
2.440492,0.4399,nan,nan,nan
2.4433,0.5132,nan,nan,nan
2.446104,0.4643,nan,nan,nan
2.448908,0.347,nan,nan,nan
2.45172,0.2248,nan,nan,nan
2.45452,0.2004,nan,nan,nan
2.457324,0.2933,nan,nan,nan
2.460128,0.4252,nan,nan,nan
2.462932,0.5083,nan,nan,nan
2.46574,0.479,nan,nan,nan
2.468544,0.3617,nan,nan,nan
2.471348,0.2395,nan,nan,nan
2.474156,0.2004,nan,nan,nan
2.47696,0.2737,nan,nan,nan
2.479764,0.4106,nan,nan,nan
2.482568,0.5034,nan,nan,nan
2.485376,0.4888,nan,nan,nan
2.48818,0.3763,nan,nan,nan
2.490984,0.2444,nan,nan,nan
2.493788,0.2004,nan,nan,nan
2.4966,0.259,nan,nan,nan
2.4994,0.391,nan,nan,nan
2.502204,0.4985,nan,nan,nan
2.505008,0.4936,nan,nan,nan
2.507816,0.3959,nan,nan,nan
2.51062,0.259,nan,nan,nan
2.513424,0.1955,nan,nan,nan
2.516232,0.2444,nan,nan,nan
2.519032,0.3763,nan,nan,nan
2.52184,0.4888,nan,nan,nan
2.524644,0.5034,nan,nan,nan
2.527452,0.4106,nan,nan,nan
2.530256,0.2737,nan,nan,nan
2.53306,0.2004,nan,nan,nan
2.535864,0.2346,nan,nan,nan
2.538668,0.3617,nan,nan,nan
2.541472,0.479,nan,nan,nan
2.54428,0.5083,nan,nan,nan
2.547084,0.4252,nan,nan,nan
2.549888,0.2884,nan,nan,nan
2.552696,0.2004,nan,nan,nan
2.5555,0.2248,nan,nan,nan
2.558304,0.3421,nan,nan,nan
2.561116,0.4692,nan,nan,nan
2.563912,0.5132,nan,nan,nan
2.56672,0.4399,nan,nan,nan
2.569524,0.3079,nan,nan,nan
2.572328,0.2053,nan,nan,nan
2.575136,0.2151,nan,nan,nan
2.57794,0.3226,nan,nan,nan
2.580744,0.4545,nan,nan,nan
2.583548,0.5132,nan,nan,nan
2.586356,0.4545,nan,nan,nan
2.58916,0.3226,nan,nan,nan
2.591968,0.2151,nan,nan,nan
2.594768,0.2053,nan,nan,nan
2.597576,0.3079,nan,nan,nan
2.60038,0.4399,nan,nan,nan
2.603184,0.5083,nan,nan,nan
2.605988,0.4692,nan,nan,nan
2.608796,0.3421,nan,nan,nan
2.6116,0.2248,nan,nan,nan
2.614404,0.2004,nan,nan,nan
2.617208,0.2933,nan,nan,nan
2.620016,0.4301,nan,nan,nan
2.622816,0.5083,nan,nan,nan
2.625628,0.479,nan,nan,nan
2.628428,0.3568,nan,nan,nan
2.631236,0.2395,nan,nan,nan
2.63404,0.2004,nan,nan,nan
2.636844,0.2737,nan,nan,nan
2.639648,0.4106,nan,nan,nan
2.642452,0.5083,nan,nan,nan
2.645264,0.4839,nan,nan,nan
2.648064,0.3763,nan,nan,nan
2.650868,0.2493,nan,nan,nan
2.653676,0.1955,nan,nan,nan
2.65648,0.2639,nan,nan,nan
2.659284,0.3959,nan,nan,nan
2.662088,0.4985,nan,nan,nan
2.664896,0.4985,nan,nan,nan
2.6677,0.3959,nan,nan,nan
2.670504,0.2639,nan,nan,nan
2.673308,0.1955,nan,nan,nan
2.676116,0.2493,nan,nan,nan
2.67892,0.3763,nan,nan,nan
2.681724,0.4888,nan,nan,nan
2.684528,0.5034,nan,nan,nan
2.687332,0.4106,nan,nan,nan
2.690144,0.2737,nan,nan,nan
2.692944,0.1955,nan,nan,nan
2.695748,0.2346,nan,nan,nan
2.698556,0.3617,nan,nan,nan
2.70136,0.479,nan,nan,nan
2.704164,0.5083,nan,nan,nan
2.706968,0.4252,nan,nan,nan
2.709772,0.2884,nan,nan,nan
2.71258,0.2004,nan,nan,nan
2.715384,0.2248,nan,nan,nan
2.718188,0.3421,nan,nan,nan
2.721,0.4692,nan,nan,nan
2.7238,0.5132,nan,nan,nan
2.726604,0.4448,nan,nan,nan
2.729408,0.3079,nan,nan,nan
2.732216,0.2102,nan,nan,nan
2.73502,0.2151,nan,nan,nan
2.737824,0.3275,nan,nan,nan
2.740628,0.4545,nan,nan,nan
2.743432,0.5132,nan,nan,nan
2.74624,0.4545,nan,nan,nan
2.749044,0.3226,nan,nan,nan
2.751848,0.2102,nan,nan,nan
2.75466,0.2102,nan,nan,nan
2.75746,0.3079,nan,nan,nan
2.760264,0.4399,nan,nan,nan
2.763068,0.5132,nan,nan,nan
2.765872,0.4692,nan,nan,nan
2.76868,0.3372,nan,nan,nan
2.771484,0.2248,nan,nan,nan
2.774296,0.2053,nan,nan,nan
2.777092,0.2933,nan,nan,nan
2.7799,0.4301,nan,nan,nan
2.782704,0.5083,nan,nan,nan
2.785508,0.479,nan,nan,nan
2.788312,0.3568,nan,nan,nan
2.79112,0.2346,nan,nan,nan
2.793924,0.2004,nan,nan,nan
2.796728,0.2737,nan,nan,nan
2.799532,0.4106,nan,nan,nan
2.80234,0.5034,nan,nan,nan
2.805144,0.4888,nan,nan,nan
2.807948,0.3812,nan,nan,nan
2.810756,0.2444,nan,nan,nan
2.81356,0.1955,nan,nan,nan
2.816364,0.259,nan,nan,nan
2.819176,0.3959,nan,nan,nan
2.821976,0.4985,nan,nan,nan
2.82478,0.4985,nan,nan,nan
2.827584,0.3959,nan,nan,nan
2.830388,0.259,nan,nan,nan
2.833196,0.1955,nan,nan,nan
2.836,0.2493,nan,nan,nan
2.838808,0.3812,nan,nan,nan
2.841608,0.4888,nan,nan,nan
2.844412,0.5034,nan,nan,nan
2.84722,0.4106,nan,nan,nan
2.850024,0.2737,nan,nan,nan
2.852828,0.1955,nan,nan,nan
2.855636,0.2346,nan,nan,nan
2.85844,0.3617,nan,nan,nan
2.861244,0.479,nan,nan,nan
2.864048,0.5083,nan,nan,nan
2.866856,0.4252,nan,nan,nan
2.86966,0.2933,nan,nan,nan
2.872464,0.2004,nan,nan,nan
2.875268,0.2297,nan,nan,nan
2.878076,0.3421,nan,nan,nan
2.88088,0.4692,nan,nan,nan
2.883688,0.5132,nan,nan,nan
2.886488,0.4399,nan,nan,nan
2.889292,0.303,nan,nan,nan
2.8921,0.2053,nan,nan,nan
2.894904,0.2199,nan,nan,nan
2.897708,0.3275,nan,nan,nan
2.900516,0.4545,nan,nan,nan
2.90332,0.5132,nan,nan,nan
2.906124,0.4545,nan,nan,nan
2.908928,0.3226,nan,nan,nan
2.911736,0.2151,nan,nan,nan
2.914544,0.2053,nan,nan,nan
2.917344,0.3079,nan,nan,nan
2.920148,0.4497,nan,nan,nan
2.922952,0.5132,nan,nan,nan
2.92576,0.4692,nan,nan,nan
2.928564,0.3421,nan,nan,nan
2.931368,0.2248,nan,nan,nan
2.934176,0.2004,nan,nan,nan
2.93698,0.2933,nan,nan,nan
2.939784,0.4301,nan,nan,nan
2.942588,0.5132,nan,nan,nan
2.945392,0.479,nan,nan,nan
2.948204,0.3617,nan,nan,nan
2.951004,0.2346,nan,nan,nan
2.953808,0.2004,nan,nan,nan
2.956612,0.2786,nan,nan,nan
2.959424,0.4106,nan,nan,nan
2.962224,0.5034,nan,nan,nan
2.965028,0.4888,nan,nan,nan
2.967832,0.3763,nan,nan,nan
2.97064,0.2493,nan,nan,nan
2.973444,0.1955,nan,nan,nan
2.976248,0.259,nan,nan,nan
2.979056,0.3959,nan,nan,nan
2.98186,0.4985,nan,nan,nan
2.984664,0.4936,nan,nan,nan
2.987468,0.3959,nan,nan,nan
